just_date,Count,TMAX
1997-01-01,0,
2014-01-06,7,2
2015-01-21,23,48
2015-01-29,20,54
2015-02-03,10,50
2007-02-07,1,
2014-03-17,14,49
2015-03-18,22,47
2010-04-24,18,68
2015-04-24,16,67
2013-05-01,19,83
2015-06-11,12,93
2015-07-06,11,90
2015-07-30,8,92
2015-08-03,30,94
2015-08-15,4,91
2015-09-04,12,96
2015-09-07,14,91
2015-09-08,21,91
2015-09-11,11,77
2015-09-13,13,75
2015-09-14,12,83
2015-09-16,12,87
2015-09-18,21,92
2015-09-19,19,81
2015-09-22,17,83
2015-09-24,10,85
2015-09-25,11,86
2015-09-26,32,77
2015-09-27,28,77
2015-09-28,12,84
2015-09-29,14,79
2015-09-30,18,72
2015-10-02,20,70
2015-10-03,15,60
2015-10-04,8,60
2015-10-05,9,72
2015-10-06,16,77
2015-10-07,18,75
2015-10-08,21,85
2015-10-09,12,70
2015-10-13,7,74
2015-10-14,9,76
2015-10-15,7,81
2015-10-16,21,65
2015-10-18,13,63
2015-10-20,15,81
2015-10-23,12,76
2015-10-28,12,61
2005-11-21,1,
2011-11-21,23,47
2015-04-09,23,84
2015-04-18,10,79
2015-06-25,10,95
2015-07-11,34,94
2015-07-18,23,94
2015-07-19,26,87
2015-08-09,17,91
2015-08-16,12,91
2015-08-18,17,91
2015-08-24,14,81
2015-08-25,16,80
2015-08-28,17,83
2015-08-30,27,89
2015-08-31,19,91
2015-09-02,23,94
2015-09-03,16,94
2015-09-05,15,93
2015-09-06,30,96
2015-09-09,12,86
2015-09-10,9,88
2015-09-12,15,70
2015-09-20,13,76
2015-09-21,10,79
2008-10-08,18,70
2014-11-01,19,50
2013-12-20,20,71
2014-12-26,21,62
2015-02-19,8,18
2015-04-06,22,67
2015-05-21,13,67
2015-05-25,33,86
2015-06-19,15,76
2015-06-24,21,87
2015-06-26,14,83
2015-06-27,10,82
2015-07-10,26,80
2015-07-15,10,87
2015-07-20,16,85
2015-07-23,18,88
2015-07-24,11,92
2015-07-25,11,92
2015-07-27,20,97
2015-07-29,15,91
2014-07-30,14,86
2015-08-04,22,92
2015-08-05,25,84
2015-08-06,14,86
2015-08-07,8,88
2015-08-08,17,91
2015-08-10,11,90
2015-08-11,17,87
2015-08-13,12,89
2015-08-14,11,90
2015-08-20,14,83
2015-08-21,16,83
2015-08-22,22,78
2014-08-23,24,99
2015-08-23,22,81
